miRNA	Metabolite	coef_Endo3
hsa-miR-628-3p	10-HDoHE/14-HDoHE	-0.007034681
hsa-miR-652-3p	10-HDoHE/14-HDoHE	-0.065280168
hsa-miR-664a-5p	10-HDoHE/14-HDoHE	-0.121793306
hsa-let-7a-3p	2-Aminoadipic acid	-0.804449078
hsa-miR-6815-5p	10-HDoHE/14-HDoHE	0.302163448
hsa-miR-744-5p	10-HDoHE/14-HDoHE	-0.188349529
hsa-let-7a-3p	10-heptadecenoate	0.537791266
hsa-let-7a-5p	10-heptadecenoate	0.227275922
hsa-let-7b-5p	10-heptadecenoate	0.108971133
hsa-let-7c-5p	10-heptadecenoate	0.287779247
hsa-let-7d-5p	10-heptadecenoate	0.339569706
hsa-let-7f-5p	10-heptadecenoate	0.194109555
hsa-let-7i-5p	10-heptadecenoate	0.206831359
hsa-miR-100-5p	10-heptadecenoate	-0.210696208
hsa-miR-10399-3p	10-heptadecenoate	0.603605835
hsa-miR-10399-5p	10-heptadecenoate	0.509767657
hsa-miR-10527-5p	10-heptadecenoate	0.55536001
hsa-miR-10a-5p	10-heptadecenoate	-0.215183186
hsa-miR-10b-5p	10-heptadecenoate	-0.204618876
hsa-miR-1180-3p	10-heptadecenoate	0.709157025
hsa-miR-125a-3p	10-heptadecenoate	0.399782138
hsa-miR-1287-5p	10-heptadecenoate	0.389793529
hsa-miR-1292-5p	10-heptadecenoate	0.295094304
hsa-miR-1307-3p	10-heptadecenoate	0.490781349
hsa-miR-1468-5p	10-heptadecenoate	0.451180125
hsa-mir-151b	10-heptadecenoate	0.159607447
hsa-miR-15a-5p	10-heptadecenoate	0.552750154
hsa-miR-15b-5p	10-heptadecenoate	0.522071401
hsa-miR-185-5p	10-heptadecenoate	0.24030425
hsa-miR-1908-5p	10-heptadecenoate	0.491989024
hsa-miR-221-3p	10-heptadecenoate	0.381284573
hsa-miR-30d-5p	10-heptadecenoate	0.089903355
hsa-miR-30e-5p	10-heptadecenoate	0.127748635
hsa-miR-323a-3p	10-heptadecenoate	0.815754607
hsa-miR-323b-3p	10-heptadecenoate	0.41284027
hsa-miR-329-3p	10-heptadecenoate	0.398662791
hsa-miR-339-3p	10-heptadecenoate	0.443565115
hsa-miR-339-5p	10-heptadecenoate	0.785206765
hsa-miR-340-3p	10-heptadecenoate	0.622602576
hsa-miR-345-5p	10-heptadecenoate	0.262012607
hsa-miR-379-5p	10-heptadecenoate	0.726598696
hsa-miR-409-3p	10-heptadecenoate	0.427667306
hsa-miR-411-5p	10-heptadecenoate	0.476173811
hsa-miR-432-5p	10-heptadecenoate	0.699801527
hsa-miR-433-3p	10-heptadecenoate	0.508005042
hsa-miR-4446-3p	10-heptadecenoate	0.179561715
hsa-miR-4454	10-heptadecenoate	0.259863107
hsa-miR-4677-3p	10-heptadecenoate	0.682480453
hsa-miR-4732-3p	10-heptadecenoate	0.339884129
hsa-miR-485-3p	10-heptadecenoate	0.330498695
hsa-miR-493-3p	10-heptadecenoate	0.425550028
hsa-miR-495-3p	10-heptadecenoate	0.708110037
hsa-miR-5010-5p	10-heptadecenoate	0.340434954
hsa-miR-505-3p	10-heptadecenoate	0.608576267
hsa-miR-548av-5pXhsa-miR-548k	10-heptadecenoate	0.361360323
hsa-miR-550a-3-5p	10-heptadecenoate	0.631050462
hsa-miR-574-3p	10-heptadecenoate	0.653616842
hsa-miR-576-5p	10-heptadecenoate	0.490363629
hsa-miR-577	10-heptadecenoate	0.188172955
hsa-miR-584-5p	10-heptadecenoate	0.400464776
hsa-miR-625-3p	10-heptadecenoate	0.727617143
hsa-miR-629-5p	10-heptadecenoate	0.35308513
hsa-miR-654-3p	10-heptadecenoate	0.299695145
hsa-miR-654-5p	10-heptadecenoate	0.336520888
hsa-miR-6842-3p	10-heptadecenoate	0.514163851
hsa-miR-766-5p	10-heptadecenoate	0.630160142
hsa-miR-889-3p	10-heptadecenoate	0.573702138
hsa-miR-92a-3p	10-heptadecenoate	0.112961579
hsa-miR-99a-5p	10-heptadecenoate	-0.169899377
hsa-let-7b-3p	PE(P-34:1)/PE(O-34:2)	0.030931266
hsa-let-7a-3p	10-nonadecenoate	0.467759949
hsa-let-7c-5p	10-nonadecenoate	0.318029973
hsa-let-7f-5p	10-nonadecenoate	0.167732204
hsa-let-7i-5p	10-nonadecenoate	0.161252001
hsa-miR-100-5p	10-nonadecenoate	-0.164047832
hsa-miR-10399-3p	10-nonadecenoate	0.618576332
hsa-let-7b-3p	PE(P-36:3)/PE(O-36:4)	0.023240556
hsa-miR-10399-5p	10-nonadecenoate	0.565611658
hsa-let-7b-3p	15-HETE	0.015368069
hsa-miR-10527-5p	10-nonadecenoate	0.453580479
hsa-miR-10a-5p	10-nonadecenoate	-0.203007287
hsa-miR-10b-5p	10-nonadecenoate	-0.198203113
hsa-let-7b-5p	LPE(20:0)	-0.017066049
hsa-miR-11400	10-nonadecenoate	0.322972214
hsa-miR-1180-3p	10-nonadecenoate	0.696767191
hsa-miR-125a-3p	10-nonadecenoate	0.521931281
hsa-miR-1287-5p	10-nonadecenoate	0.223521853
hsa-miR-1290	10-nonadecenoate	-0.143094764
hsa-miR-1292-5p	10-nonadecenoate	0.135439715
hsa-miR-1307-3p	10-nonadecenoate	0.552922547
hsa-let-7b-5p	LPC(14:0)	-0.021617755
hsa-miR-130b-5p	10-nonadecenoate	0.415851205
hsa-miR-134-5p	10-nonadecenoate	0.454305688
hsa-miR-142-3p	10-nonadecenoate	0.646794823
hsa-miR-1468-5p	10-nonadecenoate	0.353165533
hsa-miR-151a-5pXhsa-miR-151b	10-nonadecenoate	0.100810013
hsa-miR-155-5p	10-nonadecenoate	0.428175048
hsa-miR-15b-3p	10-nonadecenoate	0.378465122
hsa-miR-15b-5p	10-nonadecenoate	0.567846682
hsa-miR-1843	10-nonadecenoate	0.436985352
hsa-let-7b-5p	LPC(18:1)	-0.011391583
hsa-miR-185-5p	10-nonadecenoate	0.217686431
hsa-miR-1908-5p	10-nonadecenoate	0.454900417
hsa-miR-199a-3pXhsa-miR-199b-3p	10-nonadecenoate	0.257111216
hsa-miR-199a-5p	10-nonadecenoate	0.193409951
hsa-miR-200c-3p	10-nonadecenoate	0.417762014
hsa-miR-21-3p	10-nonadecenoate	0.350073462
hsa-miR-221-3p	10-nonadecenoate	0.308687447
hsa-miR-224-5p	10-nonadecenoate	0.356696179
hsa-miR-2355-5p	10-nonadecenoate	0.444231453
hsa-miR-27a-5p	10-nonadecenoate	0.433313653
hsa-miR-28-5p	10-nonadecenoate	0.256643493
hsa-miR-29b-3p	10-nonadecenoate	0.42910467
hsa-miR-30c-5p	10-nonadecenoate	0.126451205
hsa-miR-30d-5p	10-nonadecenoate	0.065303405
hsa-miR-30e-5p	10-nonadecenoate	0.108457873
hsa-miR-323a-3p	10-nonadecenoate	0.774846616
hsa-miR-323b-3p	10-nonadecenoate	0.318659901
hsa-miR-326	10-nonadecenoate	0.183434343
hsa-miR-329-3p	10-nonadecenoate	0.351992088
hsa-miR-339-3p	10-nonadecenoate	0.523012733
hsa-miR-339-5p	10-nonadecenoate	0.584675621
hsa-let-7b-5p	cotinine	-0.151130706
hsa-miR-340-3p	10-nonadecenoate	0.60760904
hsa-let-7b-5p	N-Palmitoyl Taurine	0.230602217
hsa-miR-340-5p	10-nonadecenoate	0.447690239
hsa-miR-345-5p	10-nonadecenoate	0.116323081
hsa-miR-361-3p	10-nonadecenoate	0.18876026
hsa-miR-3688-3p	10-nonadecenoate	0.450422783
hsa-miR-379-5p	10-nonadecenoate	0.813569592
hsa-miR-409-3p	10-nonadecenoate	0.377370952
hsa-miR-411-5p	10-nonadecenoate	0.428415696
hsa-miR-421	10-nonadecenoate	0.307644396
hsa-miR-425-5p	10-nonadecenoate	0.20818637
hsa-miR-432-5p	10-nonadecenoate	0.675118861
hsa-miR-433-3p	10-nonadecenoate	0.498268754
hsa-miR-4446-3p	10-nonadecenoate	0.215535042
hsa-miR-4659a-3p	10-nonadecenoate	0.436458295
hsa-miR-4659b-3p	10-nonadecenoate	0.507034905
hsa-miR-4662a-5p	10-nonadecenoate	0.42652379
hsa-miR-4677-3p	10-nonadecenoate	0.4120719
hsa-miR-4732-5p	10-nonadecenoate	0.222070512
hsa-miR-485-5p	10-nonadecenoate	0.115225874
hsa-miR-493-3p	10-nonadecenoate	0.34862227
hsa-miR-495-3p	10-nonadecenoate	0.592594236
hsa-miR-5010-5p	10-nonadecenoate	0.271165284
hsa-miR-505-3p	10-nonadecenoate	0.569712684
hsa-miR-548av-5pXhsa-miR-548k	10-nonadecenoate	0.270682075
hsa-miR-550a-3-5p	10-nonadecenoate	0.532168964
hsa-miR-574-3p	10-nonadecenoate	0.577258972
hsa-miR-576-5p	10-nonadecenoate	0.493431123
hsa-miR-577	10-nonadecenoate	0.305282255
hsa-miR-584-5p	10-nonadecenoate	0.311266792
hsa-miR-605-3p	10-nonadecenoate	0.416552194
hsa-miR-625-3p	10-nonadecenoate	0.545491978
hsa-miR-629-5p	10-nonadecenoate	0.13218842
hsa-miR-654-3p	10-nonadecenoate	0.25612977
hsa-miR-654-5p	10-nonadecenoate	0.330304161
hsa-miR-660-5p	10-nonadecenoate	0.160756494
hsa-miR-6842-3p	10-nonadecenoate	0.350529944
hsa-miR-6852-5p	10-nonadecenoate	0.339414574
hsa-miR-744-5p	10-nonadecenoate	0.271454881
hsa-miR-7-5p	10-nonadecenoate	0.384141915
hsa-miR-766-3p	10-nonadecenoate	0.382219999
hsa-miR-766-5p	10-nonadecenoate	0.559035396
hsa-miR-7706	10-nonadecenoate	0.851255501
hsa-miR-889-3p	10-nonadecenoate	0.504906003
hsa-miR-92b-5p	10-nonadecenoate	0.531293661
hsa-miR-98-5p	10-nonadecenoate	0.39702888
hsa-miR-181a-5p	11-HDoHE	-0.02282727
hsa-miR-320a-3p	11-HDoHE	0.083772681
hsa-miR-320c	11-HDoHE	0.032386937
hsa-miR-664a-5p	11-HDoHE	-0.089624611
hsa-let-7b-5p	12.13-diHOME	0.065169651
hsa-let-7c-5p	12.13-diHOME	0.232197456
hsa-let-7d-5p	12.13-diHOME	0.189077448
hsa-let-7e-5p	12.13-diHOME	0.183806584
hsa-let-7g-5p	12.13-diHOME	0.19017278
hsa-miR-10a-5p	12.13-diHOME	-0.089433011
hsa-miR-10b-3p	12.13-diHOME	0.353833583
hsa-miR-1180-3p	12.13-diHOME	0.435291418
hsa-miR-1292-5p	12.13-diHOME	0.318037565
hsa-miR-130b-5p	12.13-diHOME	0.142089275
hsa-miR-136-3p	12.13-diHOME	0.814616734
hsa-miR-1-3p	12.13-diHOME	0.635343133
hsa-miR-143-3p	12.13-diHOME	-0.210681245
hsa-miR-144-3p	12.13-diHOME	0.165300946
hsa-miR-148b-3p	12.13-diHOME	0.098934107
hsa-miR-151b	12.13-diHOME	0.058073759
hsa-miR-152-3p	12.13-diHOME	0.22286061
hsa-miR-15b-5p	12.13-diHOME	0.199211891
hsa-miR-185-5p	12.13-diHOME	0.156139329
hsa-miR-191-5p	12.13-diHOME	-0.119631634
hsa-miR-193b-5p	12.13-diHOME	0.541722911
hsa-miR-199a-3pXhsa-miR-199b-3p	12.13-diHOME	0.317141878
hsa-miR-204-5p	12.13-diHOME	0.316217229
hsa-miR-214-3p	12.13-diHOME	0.0694764
hsa-miR-215-5p	12.13-diHOME	0.113833148
hsa-miR-224-5p	12.13-diHOME	0.082405189
hsa-miR-29b-3p	12.13-diHOME	0.617366099
hsa-miR-30b-5p	12.13-diHOME	0.297152733
hsa-miR-30c-5p	12.13-diHOME	0.032467517
hsa-miR-323b-3p	12.13-diHOME	0.510709087
hsa-miR-328-3p	12.13-diHOME	0.25988272
hsa-miR-335-5p	12.13-diHOME	0.615880142
hsa-miR-338-5p	12.13-diHOME	0.052338272
hsa-miR-340-5p	12.13-diHOME	0.261972582
hsa-miR-342-3p	12.13-diHOME	0.092835793
hsa-miR-342-5p	12.13-diHOME	0.087144191
hsa-miR-3605-5p	12.13-diHOME	0.372194414
hsa-miR-370-3p	12.13-diHOME	0.457690414
hsa-miR-374b-5p	12.13-diHOME	0.405647315
hsa-miR-411-5p	12.13-diHOME	0.604054614
hsa-miR-432-5p	12.13-diHOME	0.428618481
hsa-miR-4732-5p	12.13-diHOME	0.467697737
hsa-miR-4738-3p	12.13-diHOME	0.263499747
hsa-miR-485-5p	12.13-diHOME	0.266260679
hsa-miR-493-3p	12.13-diHOME	0.470867076
hsa-miR-495-3p	12.13-diHOME	0.638551175
hsa-miR-503-5p	12.13-diHOME	0.255468715
hsa-miR-543	12.13-diHOME	0.389310976
hsa-miR-589-5p	12.13-diHOME	0.262942188
hsa-miR-615-3p	12.13-diHOME	0.249380669
hsa-miR-642a-3p	12.13-diHOME	0.321271034
hsa-miR-654-3p	12.13-diHOME	0.277408482
hsa-miR-654-5p	12.13-diHOME	0.128017927
hsa-miR-766-5p	12.13-diHOME	0.260370344
hsa-miR-874-3p	12.13-diHOME	0.212842794
hsa-miR-143-3p	12-HETE	-0.060785728
hsa-miR-146a-5p	12-HETE	-0.03729924
hsa-miR-16-5p	12-HETE	-0.096324479
hsa-miR-1843	12-HETE	-0.000916685
hsa-miR-199a-3pXhsa-miR-199b-3p	12-HETE	-0.09693342
hsa-miR-21-3p	12-HETE	-0.28453374
hsa-miR-28-5p	12-HETE	-0.067281939
hsa-miR-29a-3p	12-HETE	-0.16705162
hsa-miR-345-5p	12-HETE	-0.088282619
hsa-miR-363-3p	12-HETE	-0.033015287
hsa-miR-370-3p	12-HETE	-0.132993526
hsa-let-7e-5p	salicylate	0.010401742
hsa-miR-374a-5p	12-HETE	-0.072528412
hsa-miR-421	12-HETE	-0.006365219
hsa-miR-454-5p	12-HETE	-0.036258152
hsa-miR-486-5p	12-HETE	0.128982549
hsa-miR-501-3p	12-HETE	0.141951492
hsa-miR-502-3p	12-HETE	-0.009412115
hsa-miR-628-3p	12-HETE	-0.045023746
hsa-miR-652-3p	12-HETE	-0.116535399
hsa-miR-664a-5p	12-HETE	-0.135295499
hsa-miR-744-5p	12-HETE	-0.16386575
hsa-let-7e-5p	thiamine	-0.553631546
hsa-let-7e-5p	N1-methyl-2-pyridone-5-carboxamide	-0.49818462
hsa-let-7b-5p	13-docosenoate	0.141215838
hsa-miR-100-5p	13-docosenoate	-0.16607365
hsa-miR-107	13-docosenoate	0.330544846
hsa-miR-126-3p	13-docosenoate	0.070168243
hsa-let-7e-5p	p-hydroxyphenylacetate	-0.524817178
hsa-miR-148b-3p	13-docosenoate	0.098029379
hsa-miR-15b-3p	13-docosenoate	0.391029853
hsa-miR-181d-5p	13-docosenoate	-0.162800934
hsa-miR-27a-5p	13-docosenoate	-0.136938024
hsa-miR-27b-3p	13-docosenoate	0.091047564
hsa-miR-30c-5p	13-docosenoate	0.164224757
hsa-miR-30e-5p	13-docosenoate	0.159215257
hsa-miR-409-3p	13-docosenoate	0.15908017
hsa-miR-423-5p	13-docosenoate	0.039369687
hsa-miR-5010-5p	13-docosenoate	0.290839052
hsa-miR-505-3p	13-docosenoate	0.316581739
hsa-miR-577	13-docosenoate	0.263326368
hsa-miR-584-5p	13-docosenoate	0.170149
hsa-miR-7706	13-docosenoate	0.377685744
hsa-miR-363-3p	13-HODE	-0.199184483
hsa-miR-411-5p	13-HODE	0.37306393
hsa-miR-4433b-5p	13-HODE	0.314789471
hsa-miR-485-5p	13-HODE	0.243522001
hsa-miR-502-3p	13-HODE	-0.055872622
hsa-miR-126-3p	15-HETE	-0.038653983
hsa-miR-142-5p	15-HETE	-0.158541886
hsa-miR-143-3p	15-HETE	-0.110775721
hsa-miR-145-3p	15-HETE	-0.153811188
hsa-miR-146a-5p	15-HETE	-0.063414602
hsa-miR-146b-5p	15-HETE	-0.117828531
hsa-miR-15b-5p	15-HETE	-0.083328387
hsa-miR-16-2-3p	15-HETE	-0.033471194
hsa-miR-16-5p	15-HETE	-0.140032034
hsa-miR-181c-3p	15-HETE	-0.121827947
hsa-miR-181c-5p	15-HETE	-0.073357269
hsa-miR-182-5p	15-HETE	-0.001500644
hsa-miR-1843	15-HETE	-0.188269187
hsa-miR-186-5p	15-HETE	-0.015539166
hsa-miR-199a-3pXhsa-miR-199b-3p	15-HETE	-0.139320591
hsa-miR-199a-5p	15-HETE	-0.090047363
hsa-miR-19a-3p	15-HETE	-0.088973899
hsa-miR-21-3p	15-HETE	-0.4091041
hsa-miR-214-3p	15-HETE	-0.135776773
hsa-miR-215-5p	15-HETE	-0.008299285
hsa-miR-223-5p	15-HETE	-0.031433695
hsa-miR-24-3p	15-HETE	-0.07010182
hsa-miR-27a-5p	15-HETE	-0.266693208
hsa-miR-27b-3p	15-HETE	-0.054459114
hsa-miR-28-5p	15-HETE	-0.228152686
hsa-miR-29a-3p	15-HETE	-0.176853029
hsa-miR-29c-3p	15-HETE	-0.088641289
hsa-miR-30e-5p	15-HETE	-0.026150678
hsa-let-7f-5p	levulinate	0.217137743
hsa-miR-32-5p	15-HETE	-0.131388383
hsa-miR-330-3p	15-HETE	-0.028920511
hsa-miR-338-5p	15-HETE	-0.259949246
hsa-miR-339-5p	15-HETE	-0.072523297
hsa-miR-345-5p	15-HETE	-0.220641724
hsa-miR-361-5p	15-HETE	-0.176978086
hsa-miR-363-3p	15-HETE	-0.049044004
hsa-miR-370-3p	15-HETE	-0.231685568
hsa-miR-371b-5p	15-HETE	-0.107534257
hsa-miR-374a-5p	15-HETE	-0.184528066
hsa-miR-421	15-HETE	-0.098134528
hsa-miR-423-5p	15-HETE	0.009166618
hsa-miR-424-3p	15-HETE	-0.026540212
hsa-miR-425-3p	15-HETE	-0.193065898
hsa-miR-450b-5p	15-HETE	-0.192174552
hsa-miR-454-5p	15-HETE	-0.203831478
hsa-miR-486-5p	15-HETE	0.197232274
hsa-miR-493-3p	15-HETE	-0.127996502
hsa-miR-501-3p	15-HETE	0.251159535
hsa-miR-550a-3-5p	15-HETE	-0.112495978
hsa-miR-576-5p	15-HETE	-0.193116454
hsa-miR-628-3p	15-HETE	-0.107854004
hsa-miR-664a-5p	15-HETE	-0.147925099
hsa-miR-744-5p	15-HETE	-0.228929612
hsa-miR-92a-3p	15-HETE	0.08228642
hsa-miR-93-3p	15-HETE	-0.125867833
hsa-miR-941	15-HETE	-0.026253943
hsa-miR-95-3p	15-HETE	-0.066832977
hsa-miR-99b-5p	15-HETE	0.032281251
hsa-let-7d-5p	16-hydroxypalmitate	0.043596896
hsa-miR-126-3p	16-hydroxypalmitate	0.051456559
hsa-miR-126-5p	16-hydroxypalmitate	0.058481738
hsa-miR-134-5p	16-hydroxypalmitate	0.527961305
hsa-miR-15b-5p	16-hydroxypalmitate	0.290202536
hsa-miR-181a-3p	16-hydroxypalmitate	0.474153322
hsa-miR-199a-3pXhsa-miR-199b-3p	16-hydroxypalmitate	0.204737772
hsa-miR-199a-5p	16-hydroxypalmitate	0.062905273
hsa-miR-222-3p	16-hydroxypalmitate	0.104905892
hsa-miR-224-5p	16-hydroxypalmitate	0.162021272
hsa-miR-23a-3p	16-hydroxypalmitate	0.069070896
hsa-miR-23b-3p	16-hydroxypalmitate	0.24064888
hsa-miR-26a-5p	16-hydroxypalmitate	0.02911316
hsa-miR-30c-5p	16-hydroxypalmitate	0.036992053
hsa-miR-323b-3p	16-hydroxypalmitate	0.206533088
hsa-miR-335-5p	16-hydroxypalmitate	0.19991866
hsa-miR-340-3p	16-hydroxypalmitate	0.274967681
hsa-miR-3605-5p	16-hydroxypalmitate	0.362331206
hsa-miR-370-3p	16-hydroxypalmitate	0.103073898
hsa-miR-409-3p	16-hydroxypalmitate	0.199544494
hsa-miR-409-5p	16-hydroxypalmitate	0.177320273
hsa-miR-411-3p	16-hydroxypalmitate	0.251317598
hsa-miR-411-5p	16-hydroxypalmitate	0.333888587
hsa-miR-423-3p	16-hydroxypalmitate	0.024789696
hsa-miR-4433b-5p	16-hydroxypalmitate	0.334402329
hsa-miR-505-5p	16-hydroxypalmitate	0.183788313
hsa-miR-577	16-hydroxypalmitate	0.643534651
hsa-miR-584-5p	16-hydroxypalmitate	0.078715601
hsa-miR-605-3p	16-hydroxypalmitate	0.278791206
hsa-miR-654-3p	16-hydroxypalmitate	0.095982792
hsa-miR-889-3p	16-hydroxypalmitate	0.15883682
hsa-miR-92b-5p	16-hydroxypalmitate	0.580014374
hsa-miR-1-3p	1-methyladenosine	-0.455384147
hsa-miR-23b-5p	1-methyladenosine	0.286039536
hsa-miR-100-5p	1-methylguanine	-0.10747697
hsa-miR-106b-3p	1-methylguanine	0.354464746
hsa-miR-106b-5p	1-methylguanine	0.06363882
hsa-miR-10b-3p	1-methylguanine	0.192873508
hsa-miR-125b-5p	1-methylguanine	-0.10363443
hsa-miR-1271-5p	1-methylguanine	0.423013192
hsa-miR-1301-3p	1-methylguanine	0.180010383
hsa-miR-139-3p	1-methylguanine	0.098526286
hsa-miR-142-5p	1-methylguanine	0.032107757
hsa-miR-146a-5p	1-methylguanine	0.047789003
hsa-miR-148b-3p	1-methylguanine	0.412364007
hsa-miR-150-5p	1-methylguanine	0.007024093
hsa-miR-151a-5p	1-methylguanine	0.143553403
hsa-miR-151a-5pXhsa-miR-151b	1-methylguanine	0.092602496
hsa-miR-151b	1-methylguanine	0.019995087
hsa-mir-151b	1-methylguanine	0.102702152
hsa-miR-16-2-3p	1-methylguanine	0.19327374
hsa-miR-16-5p	1-methylguanine	0.284715783
hsa-miR-181c-5p	1-methylguanine	0.093391861
hsa-miR-182-5p	1-methylguanine	0.174534584
hsa-miR-185-5p	1-methylguanine	0.074146011
hsa-miR-186-5p	1-methylguanine	0.012926319
hsa-let-7g-5p	PE(P-38:6)/PE(O-38:7)	0.01503495
hsa-miR-191-5p	1-methylguanine	0.143333686
hsa-miR-199a-3pXhsa-miR-199b-3p	1-methylguanine	0.086188876
hsa-let-7g-5p	taurine	0.045108052
hsa-miR-199a-5p	1-methylguanine	0.161438662
hsa-miR-2110	1-methylguanine	0.289172442
hsa-miR-215-5p	1-methylguanine	0.077164878
hsa-miR-221-5p	1-methylguanine	0.301444434
hsa-miR-22-3p	1-methylguanine	-0.029334951
hsa-miR-23b-3p	1-methylguanine	0.186557293
hsa-miR-23b-5p	1-methylguanine	0.007408761
hsa-let-7g-5p	LPE(22:6)	0.365361775
hsa-miR-24-3p	1-methylguanine	0.049788152
hsa-miR-28-5p	1-methylguanine	0.134377615
hsa-miR-30d-5p	1-methylguanine	0.073374421
hsa-miR-30e-5p	1-methylguanine	0.011709767
hsa-let-7i-3p	DG(38:4)	0.042912286
hsa-miR-323b-3p	1-methylguanine	0.30065688
hsa-miR-326	1-methylguanine	0.339729552
hsa-miR-328-3p	1-methylguanine	0.26884946
hsa-miR-329-3p	1-methylguanine	0.150684791
hsa-miR-335-3p	1-methylguanine	0.284698027
hsa-miR-339-3p	1-methylguanine	0.065282427
hsa-miR-340-3p	1-methylguanine	0.234572748
hsa-miR-3605-5p	1-methylguanine	0.21477831
hsa-miR-361-5p	1-methylguanine	0.208429027
hsa-miR-371b-5p	1-methylguanine	0.169598724
hsa-miR-374a-5p	1-methylguanine	0.217745012
hsa-miR-409-3p	1-methylguanine	0.126954652
hsa-miR-409-5p	1-methylguanine	0.147069441
hsa-miR-421	1-methylguanine	0.157856558
hsa-miR-423-3p	1-methylguanine	0.362039803
hsa-miR-425-3p	1-methylguanine	0.394238256
hsa-miR-425-5p	1-methylguanine	0.16239399
hsa-let-7i-3p	N-acetylalanine	0.017112998
hsa-miR-4446-3p	1-methylguanine	0.275563277
hsa-let-7i-3p	taurine	0.005936931
hsa-miR-486-3p	1-methylguanine	0.381265644
hsa-miR-500a-3p	1-methylguanine	0.11650262
hsa-let-7i-3p	Aspartic acid	0.132060481
hsa-miR-500b-3p	1-methylguanine	0.204924312
hsa-miR-502-3p	1-methylguanine	0.069833099
hsa-miR-532-5p	1-methylguanine	0.048394646
hsa-let-7i-3p	15-HETE	0.072219247
hsa-miR-548av-5pXhsa-miR-548k	1-methylguanine	0.143496159
hsa-miR-625-3p	1-methylguanine	0.134763235
hsa-miR-628-3p	1-methylguanine	0.302664857
hsa-miR-652-3p	1-methylguanine	0.192398304
hsa-miR-654-3p	1-methylguanine	0.302991934
hsa-miR-664a-5p	1-methylguanine	0.357372385
hsa-miR-671-3p	1-methylguanine	0.215476873
hsa-let-7i-3p	Pyruvic acid	0.633527529
hsa-miR-6852-5p	1-methylguanine	0.234084614
hsa-miR-744-5p	1-methylguanine	0.206394654
hsa-miR-766-5p	1-methylguanine	0.080610077
hsa-miR-769-5p	1-methylguanine	0.183152277
hsa-miR-877-5p	1-methylguanine	0.217410891
hsa-miR-1-3p	1-methylguanosine	-0.252343358
hsa-miR-152-3p	1-methylguanosine	0.00345151
hsa-miR-181a-3p	1-methylguanosine	-0.349861421
hsa-miR-215-5p	1-methylguanosine	0.062022131
hsa-miR-23b-5p	1-methylguanosine	0.111557784
hsa-miR-320d	1-methylguanosine	-0.176406991
hsa-miR-628-3p	1-methylguanosine	0.086113462
hsa-miR-100-5p	1-methylhistamine	-0.168440963
hsa-miR-126-3p	1-methylhistamine	0.106440689
hsa-miR-1287-5p	1-methylhistamine	0.443958719
