Metabolite	Sub-Pathway	miR	Chromosome	start	end	strand	coef.Endo2.	coef.Endo3.
palmitate	Saturated Fatty Acid	miR-30c-5p	chr1	40757300	40757322	+	-0.562309144	0.184515995
stearate	Saturated Fatty Acid	miR-30c-5p	chr1	40757300	40757322	+	-0.49838119	0.250386421
Adipic acid	Xenobiotic	miR-30c-5p	chr1	40757300	40757322	+	-0.654991996	0.077882281
PC(40:9)	PC Ester	miR-30e-3p	chr1	40754413	40754434	+	-0.395411436	0.533992072
trimethylamine-N-oxide	Phospholipid	miR-30e-3p	chr1	40754413	40754434	+	0.448285247	-0.61224846
Anthranilic acid	Benzoate	miR-30e-5p	chr1	40754371	40754392	+	0.219507869	-0.059149067
Cholic acid	Bile Acid	miR-30e-5p	chr1	40754371	40754392	+	0.110023902	-0.184733911
C14 carnitine	Carnitine  	miR-30e-5p	chr1	40754371	40754392	+	-0.312595715	0.136675027
C16 carnitine	Carnitine  	miR-30e-5p	chr1	40754371	40754392	+	-0.218550212	0.163594466
C18:1 carnitine	Carnitine  	miR-30e-5p	chr1	40754371	40754392	+	-0.21454718	0.144644435
glycine	Glycine, Serine and Threonine	miR-30e-5p	chr1	40754371	40754392	+	0.244802355	-0.115813033
DHAP/Glyceraldehyde-3-P	Glycolysis, Gluconeogenesis, and Pyruvate	miR-30e-5p	chr1	40754371	40754392	+	0.261262129	-0.14108721
levulinate	Keto Acid	miR-30e-5p	chr1	40754371	40754392	+	-0.29264897	0.066739626
13-docosenoate	Monounsaturated Fatty Acid	miR-30e-5p	chr1	40754371	40754392	+	-0.180731161	0.159215257
palmitoylethanolamide	Neuroactive ligand	miR-30e-5p	chr1	40754371	40754392	+	-0.252961745	0.129142412
15-HETE	PUFA (n3 and n6)	miR-30e-5p	chr1	40754371	40754392	+	0.348180067	-0.026150678
alpha-linolenate	PUFA (n3 and n6)	miR-30e-5p	chr1	40754371	40754392	+	-0.195063764	0.126709127
hypoxanthine	Purine	miR-30e-5p	chr1	40754371	40754392	+	0.205330523	-0.057553249
hypoxanthine	Purine	miR-30e-5p	chr1	40754371	40754392	+	0.244553247	-0.05660164
a-Ketoglutaric acid	TCA Cycle	miR-30e-5p	chr1	40754371	40754392	+	-0.304408042	0.093112926
oleate	Unsaturated Fatty Acid	miR-30e-5p	chr1	40754371	40754392	+	-0.187797229	0.190273789
arginine	Urea cycle; Arginine and Proline	miR-30e-5p	chr1	40754371	40754392	+	0.194834496	-0.219024446
Adipic acid	Xenobiotic	miR-30e-5p	chr1	40754371	40754392	+	-0.330588113	0.067598453
sphingosine	Sphingolipid	miR-320b	chr1	116671787	116671808	+	-0.40606018	0.037630861
tryptophan	Tryptophan	miR-320b	chr1	116671787	116671808	+	0.201191501	-0.137752481
C3 carnitine	Carnitine  	miR-3605-3p	chr1	33332405	33332427	-	0.540184614	-0.401639503
thiamine	Cofactors and Vitamins	miR-3605-3p	chr1	33332405	33332427	-	0.531431511	-0.298276419
serine	Glycine, Serine and Threonine	miR-3605-3p	chr1	33332405	33332427	-	0.618783297	-0.243804884
methionine	Methionine, Cysteine, SAM and Taurine	miR-3605-3p	chr1	33332405	33332427	-	0.608076451	-0.195365677
linoleoyl ethanolamide	Fatty Acid	miR-3605-5p	chr1	33332449	33332471	-	0.665503235	-0.296330765
AMP	Purine	miR-3605-5p	chr1	33332449	33332471	-	0.613364297	-0.346218325
DHAP/Glyceraldehyde-3-P	Glycolysis, Gluconeogenesis, and Pyruvate	miR-4677-3p	chr1	243346225	243346246	+	0.392489771	-0.683592984
arginine	Urea cycle; Arginine and Proline	miR-4677-3p	chr1	243346225	243346246	+	0.289204354	-0.751551339
dodecanedioate	Fatty Acid	miR-664a-5p	chr1	220200586	220200609	-	-0.611527223	0.153836653
N-Oleoyl Taurine	Fatty Acid	miR-664a-5p	chr1	220200586	220200609	-	0.516414337	-0.490708038
taurine	Methionine, Cysteine, SAM and Taurine	miR-664a-5p	chr1	220200586	220200609	-	0.857457506	-0.482863654
10-HDoHE/14-HDoHE	PUFA (n3 and n6)	miR-664a-5p	chr1	220200586	220200609	-	0.934043485	-0.121793306
Xanthosine	Purine	miR-664a-5p	chr1	220200586	220200609	-	0.830628229	-0.397344398
C3 carnitine	Carnitine  	miR-760	chr1	93846880	93846899	+	0.434733699	-0.503151824
tyrosine	Tyrosine	miR-760	chr1	93846880	93846899	+	0.317355637	-0.541756815
homoarginine	Urea cycle; Arginine and Proline	miR-760	chr1	93846880	93846899	+	0.378013093	-0.462240676
NMMA	Urea cycle; Arginine and Proline	miR-760	chr1	93846880	93846899	+	0.374585537	-0.420500746
arginine	Urea cycle; Arginine and Proline	miR-760	chr1	93846880	93846899	+	0.340576333	-0.549277052
homoarginine	Urea cycle; Arginine and Proline	miR-92b-3p	chr1	155195237	155195258	+	-0.358810586	0.06658174
Adipic acid	Xenobiotic	miR-92b-3p	chr1	155195237	155195258	+	-0.557037801	0.088842659
C14 carnitine	Carnitine  	miR-92b-5p	chr1	155195196	155195217	+	-0.640058197	0.328143782
C18:1 carnitine	Carnitine  	miR-92b-5p	chr1	155195196	155195217	+	-0.399770945	0.644413175
DG(38:4)	DAG	miR-92b-5p	chr1	155195196	155195217	+	0.645005044	-0.488735856
allantoin	Purine	miR-92b-5p	chr1	155195196	155195217	+	0.340616765	-0.48639493
TG(56:5)	TAG Ester	miR-92b-5p	chr1	155195196	155195217	+	0.474817106	-0.392454931
DG(38:4)	DAG	miR-942-5p	chr1	117094655	117094676	+	0.72961847	-0.587611447
