miR	contrast	estimate	std.error	statistic	adj.p.value	Cluster
hsa-miR-30e-5p 	Cluster2 - 1	-0.468802695	0.115878691	-4.04563332	0.000185944	C1
hsa-miR-30e-5p 	Cluster3 - 1	0.32535237	0.120422688	2.701753089	0.011670547	C1
hsa-miR-30e-5p 	Cluster4 - 1	-0.081365995	0.119626862	-0.680164921	0.496541491	C1
hsa-miR-30e-5p 	Cluster5 - 1	0.120179997	0.121786392	0.986809732	0.359944881	C1
hsa-miR-10b-5p 	Cluster2 - 1	0.345006607	0.098755851	3.4935308	0.001651352	C1
hsa-miR-10b-5p 	Cluster3 - 1	-0.07342904	0.102628403	-0.71548458	0.593074662	C1
hsa-miR-10b-5p 	Cluster4 - 1	-0.016164667	0.101950173	-0.158554587	0.874048574	C1
hsa-miR-10b-5p 	Cluster5 - 1	0.128657639	0.103790599	1.239588558	0.307698452	C1
hsa-miR-16-5p 	Cluster2 - 1	-0.283677858	0.177895593	-1.594631173	0.277696604	C1
hsa-miR-16-5p 	Cluster3 - 1	0.178423161	0.184871483	0.965119975	0.669388744	C1
hsa-miR-16-5p 	Cluster4 - 1	0.093308965	0.18364974	0.508081116	0.721964824	C1
hsa-miR-16-5p 	Cluster5 - 1	0.08492084	0.186965025	0.454207089	0.721964824	C1
hsa-miR-24-3p 	Cluster2 - 1	-0.397615211	0.091357683	-4.352290893	7.36E-05	C1
hsa-miR-24-3p 	Cluster3 - 1	0.152649706	0.094940128	1.607852337	0.154501623	C1
hsa-miR-24-3p 	Cluster4 - 1	-0.046913362	0.094312706	-0.497423563	0.68776516	C1
hsa-miR-24-3p 	Cluster5 - 1	-0.048583411	0.096015259	-0.505996774	0.68776516	C1
hsa-miR-186-5p 	Cluster2 - 1	-0.421618806	0.130197176	-3.238309917	0.003094801	C1
hsa-miR-186-5p 	Cluster3 - 1	0.294483371	0.135302649	2.176478976	0.056889015	C1
hsa-miR-186-5p 	Cluster4 - 1	0.049496263	0.134408487	0.368252509	0.838592694	C1
hsa-miR-186-5p 	Cluster5 - 1	0.007495809	0.136834858	0.054779967	0.956323592	C1
hsa-let-7g-5p 	Cluster2 - 1	-0.312528161	0.137900654	-2.266328357	0.059056559	C1
hsa-let-7g-5p 	Cluster3 - 1	0.026593027	0.143308206	0.18556528	0.960573804	C1
hsa-let-7g-5p 	Cluster4 - 1	0.01963538	0.142361139	0.137926543	0.960573804	C1
hsa-let-7g-5p 	Cluster5 - 1	0.036600148	0.144931073	0.252534856	0.960573804	C1
hsa-miR-30d-5p 	Cluster2 - 1	-0.254092998	0.059526086	-4.26859913	7.12E-05	C1
hsa-miR-30d-5p 	Cluster3 - 1	0.092159996	0.061860306	1.489808282	0.227596606	C1
hsa-miR-30d-5p 	Cluster4 - 1	-0.045467565	0.061451495	-0.739893541	0.510578474	C1
hsa-miR-30d-5p 	Cluster5 - 1	0.008813861	0.062560831	0.140884652	0.887986561	C1
hsa-miR-22-3p 	Cluster2 - 1	0.369984887	0.073009992	5.067592494	1.57E-06	C1
hsa-miR-22-3p 	Cluster3 - 1	-0.265911472	0.075872962	-3.504693465	0.000792186	C1
hsa-miR-22-3p 	Cluster4 - 1	-0.041827975	0.075371547	-0.554957096	0.579035515	C1
hsa-miR-22-3p 	Cluster5 - 1	0.053419212	0.076732171	0.696177511	0.540514466	C1
hsa-miR-101-3p 	Cluster2 - 1	0.016055532	0.121394125	0.132259549	0.894802907	C1
hsa-miR-101-3p 	Cluster3 - 1	-0.213955029	0.126154401	-1.695977522	0.450848955	C1
hsa-miR-101-3p 	Cluster4 - 1	-0.102665017	0.125320697	-0.81921837	0.688062024	C1
hsa-miR-101-3p 	Cluster5 - 1	-0.035600012	0.127583013	-0.279034105	0.86696721	C1
hsa-let-7i-5p 	Cluster2 - 1	-0.026678343	0.116930792	-0.228154983	0.819567665	C1
hsa-let-7i-5p 	Cluster3 - 1	0.227265688	0.121516045	1.870252507	0.30855538	C1
hsa-let-7i-5p 	Cluster4 - 1	0.102544055	0.120712993	0.849486474	0.56541905	C1
hsa-let-7i-5p 	Cluster5 - 1	0.166880556	0.12289213	1.357943388	0.436892167	C1
hsa-miR-140-3p 	Cluster2 - 1	-0.559098401	0.123608858	-4.523125691	3.37E-05	C1
hsa-miR-140-3p 	Cluster3 - 1	0.146272727	0.128455981	1.138699237	0.283415169	C1
hsa-miR-140-3p 	Cluster4 - 1	-0.283091132	0.127607066	-2.218459691	0.04454116	C1
hsa-miR-140-3p 	Cluster5 - 1	-0.027597734	0.129910656	-0.212436263	0.831805596	C1
hsa-miR-185-5p 	Cluster2 - 1	-0.187231217	0.136563239	-1.371022089	0.426611127	C1
hsa-miR-185-5p 	Cluster3 - 1	0.101630598	0.141918347	0.71612022	0.933066031	C1
hsa-miR-185-5p 	Cluster4 - 1	0.028234609	0.140980465	0.200273202	0.933066031	C1
hsa-miR-185-5p 	Cluster5 - 1	0.040078039	0.143525474	0.279239901	0.933066031	C1
hsa-miR-10a-5p 	Cluster2 - 1	0.276392378	0.094841385	2.914259201	0.012122239	C1
hsa-miR-10a-5p 	Cluster3 - 1	-0.078721956	0.098560437	-0.7987176	0.528398782	C1
hsa-miR-10a-5p 	Cluster4 - 1	-0.069878261	0.09790909	-0.713705549	0.528398782	C1
hsa-miR-10a-5p 	Cluster5 - 1	0.116399908	0.099676566	1.167776056	0.347353151	C1
hsa-let-7b-5p 	Cluster2 - 1	0.046142915	0.076727037	0.601390549	0.900172402	C1
hsa-let-7b-5p 	Cluster3 - 1	-0.031132221	0.079735765	-0.39044237	0.900172402	C1
hsa-let-7b-5p 	Cluster4 - 1	0.0370205	0.079208823	0.467378489	0.900172402	C1
hsa-let-7b-5p 	Cluster5 - 1	0.00863458	0.080638717	0.107077352	0.914746912	C1
hsa-miR-144-3p 	Cluster2 - 1	-0.399031945	0.188016794	-2.122320756	0.211250826	C1
hsa-miR-144-3p 	Cluster3 - 1	-0.09324954	0.195389571	-0.477249321	0.899025425	C1
hsa-miR-144-3p 	Cluster4 - 1	-0.024259952	0.194098318	-0.124987956	0.927304047	C1
hsa-miR-144-3p 	Cluster5 - 1	-0.111080156	0.197602223	-0.562140216	0.899025425	C1
hsa-miR-27a-3p 	Cluster2 - 1	-0.400239215	0.123469393	-3.241606713	0.004079413	C1
hsa-miR-27a-3p 	Cluster3 - 1	0.223377594	0.128311047	1.740906945	0.118469597	C1
hsa-miR-27a-3p 	Cluster4 - 1	0.004721759	0.12746309	0.037044125	0.970456466	C1
hsa-miR-27a-3p 	Cluster5 - 1	-0.017204525	0.129764082	-0.132583108	0.970456466	C1
hsa-miR-223-3p 	Cluster2 - 1	-0.835061791	0.234587317	-3.559705622	0.000773866	C1
hsa-miR-223-3p 	Cluster3 - 1	0.938563555	0.243786282	3.849944091	0.000312182	C1
hsa-miR-223-3p 	Cluster4 - 1	0.47201187	0.242175195	1.949051266	0.064428455	C1
hsa-miR-223-3p 	Cluster5 - 1	0.373784835	0.246546993	1.516079469	0.144203562	C1
hsa-miR-99a-5p 	Cluster2 - 1	0.039253206	0.091426416	0.429342066	0.953939148	C1
hsa-miR-99a-5p 	Cluster3 - 1	-0.015935964	0.095011556	-0.167726582	0.96617473	C1
hsa-miR-99a-5p 	Cluster4 - 1	-0.086886461	0.094383663	-0.920566742	0.953939148	C1
hsa-miR-99a-5p 	Cluster5 - 1	-0.004075641	0.096087497	-0.042415939	0.96617473	C1
hsa-miR-146b-5p 	Cluster2 - 1	-0.172347077	0.072077425	-2.391138104	0.038663023	C1
hsa-miR-146b-5p 	Cluster3 - 1	0.175460751	0.074903825	2.342480518	0.038663023	C1
hsa-miR-146b-5p 	Cluster4 - 1	0.044493529	0.074408815	0.597960459	0.611097739	C1
hsa-miR-146b-5p 	Cluster5 - 1	0.062390586	0.075752059	0.823615713	0.512917985	C1
hsa-miR-27b-3p 	Cluster2 - 1	-0.174351469	0.089437316	-1.94942643	0.111247589	C1
hsa-miR-27b-3p 	Cluster3 - 1	0.178079573	0.092944457	1.915978401	0.111247589	C1
hsa-miR-27b-3p 	Cluster4 - 1	0.049207826	0.092330224	0.532954686	0.660190379	C1
hsa-miR-27b-3p 	Cluster5 - 1	0.06154768	0.093996989	0.654783527	0.640928035	C1
hsa-miR-21-5p 	Cluster2 - 1	0.076813896	0.086575832	0.887244097	0.956142739	C1
hsa-miR-21-5p 	Cluster3 - 1	0.005007293	0.089970764	0.055654671	0.956142739	C1
hsa-miR-21-5p 	Cluster4 - 1	0.048481685	0.089376183	0.542445239	0.956142739	C1
hsa-miR-21-5p 	Cluster5 - 1	0.072050405	0.090989621	0.791853007	0.956142739	C1
hsa-miR-100-5p 	Cluster2 - 1	0.270369076	0.106141184	2.547258898	0.027477321	C1
hsa-miR-100-5p 	Cluster3 - 1	-0.157888427	0.110303341	-1.431402046	0.27470607	C1
hsa-miR-100-5p 	Cluster4 - 1	-0.152302325	0.109574389	-1.389944545	0.27470607	C1
hsa-miR-100-5p 	Cluster5 - 1	-0.070880283	0.11155245	-0.635398715	0.583665573	C1
hsa-miR-25-3p 	Cluster2 - 1	-0.478855253	0.132072835	-3.62569073	0.001004093	C1
hsa-miR-25-3p 	Cluster3 - 1	0.076653809	0.137251859	0.558490135	0.694192493	C1
hsa-miR-25-3p 	Cluster4 - 1	-0.206409496	0.136344815	-1.513878585	0.186200775	C1
hsa-miR-25-3p 	Cluster5 - 1	0.009506579	0.138806142	0.068488172	0.945409337	C1
hsa-miR-423-5p 	Cluster2 - 1	0.374722186	0.1208977	3.09949806	0.003974293	C1
hsa-miR-423-5p 	Cluster3 - 1	-0.422019084	0.125638509	-3.358994688	0.00202192	C1
hsa-miR-423-5p 	Cluster4 - 1	-0.135505808	0.124808214	-1.08571226	0.347301761	C1
hsa-miR-423-5p 	Cluster5 - 1	-0.048697515	0.127061278	-0.383260073	0.701600129	C1
hsa-miR-320a-3p 	Cluster2 - 1	0.352018147	0.098322123	3.580253713	0.001193539	C1
hsa-miR-320a-3p 	Cluster3 - 1	-0.274372143	0.102177667	-2.685245712	0.012259	C1
hsa-miR-320a-3p 	Cluster4 - 1	0.069188119	0.101502416	0.681640125	0.550675939	C1
hsa-miR-320a-3p 	Cluster5 - 1	-0.029676902	0.103334759	-0.28719186	0.774018877	C1
hsa-miR-142-5p 	Cluster2 - 1	-0.692122041	0.143903211	-4.809635835	5.73E-06	C1
hsa-miR-142-5p 	Cluster3 - 1	0.2940652	0.149546144	1.966384366	0.070717756	C1
hsa-miR-142-5p 	Cluster4 - 1	-0.013483818	0.148557853	-0.090764761	0.945714787	C1
hsa-miR-142-5p 	Cluster5 - 1	-0.023601337	0.151239651	-0.156052577	0.945714787	C1
hsa-miR-151a-5pXhsa-miR-151b 	Cluster2 - 1	-0.058019612	0.068122895	-0.851690353	0.563670267	C1
hsa-miR-151a-5pXhsa-miR-151b 	Cluster3 - 1	0.0947934	0.070794225	1.338999053	0.452110949	C1
hsa-miR-151a-5pXhsa-miR-151b 	Cluster4 - 1	0.084176656	0.070326374	1.19694294	0.463167352	C1
hsa-miR-151a-5pXhsa-miR-151b 	Cluster5 - 1	0.074259215	0.07159592	1.037198974	0.499780696	C1
hsa-miR-92a-3p 	Cluster2 - 1	0.394297557	0.090081856	4.377102936	5.23E-05	C1
hsa-miR-92a-3p 	Cluster3 - 1	-0.251256512	0.093614271	-2.68395521	0.010548092	C1
hsa-miR-92a-3p 	Cluster4 - 1	0.011244942	0.092995612	0.120919055	0.903776974	C1
hsa-miR-92a-3p 	Cluster5 - 1	0.087468525	0.094674389	0.92388793	0.444681147	C1
hsa-miR-148a-3p 	Cluster2 - 1	-0.392538729	0.097802233	-4.013596797	0.000319009	C1
hsa-miR-148a-3p 	Cluster3 - 1	0.011697434	0.101637391	0.115089871	0.908394647	C1
hsa-miR-148a-3p 	Cluster4 - 1	-0.189987026	0.100965709	-1.881698527	0.100229574	C1
hsa-miR-148a-3p 	Cluster5 - 1	-0.056305975	0.102788364	-0.547785501	0.648832255	C1
hsa-miR-96-5p 	Cluster2 - 1	-0.215714683	0.163877693	-1.316315106	0.313898854	C1
hsa-miR-96-5p 	Cluster3 - 1	0.294861486	0.170303894	1.731384287	0.241608767	C1
hsa-miR-96-5p 	Cluster4 - 1	0.033703416	0.169178423	0.199218173	0.842128472	C1
hsa-miR-96-5p 	Cluster5 - 1	0.167696958	0.172232468	0.973666346	0.472048274	C1
hsa-miR-181a-5p 	Cluster2 - 1	0.099276889	0.115488423	0.859626328	0.650300281	C1
hsa-miR-181a-5p 	Cluster3 - 1	0.110112281	0.120017116	0.91747148	0.650300281	C1
hsa-miR-181a-5p 	Cluster4 - 1	0.217249689	0.11922397	1.822198074	0.650300281	C1
hsa-miR-181a-5p 	Cluster5 - 1	0.080584766	0.121376227	0.663925452	0.7241079	C1
hsa-miR-192-5p 	Cluster2 - 1	-0.408596938	0.113506385	-3.599770509	0.001108395	C1
hsa-miR-192-5p 	Cluster3 - 1	0.220929639	0.117957356	1.872961952	0.089551511	C1
hsa-miR-192-5p 	Cluster4 - 1	-0.201273385	0.117177822	-1.717674736	0.107667645	C1
hsa-miR-192-5p 	Cluster5 - 1	-0.026729378	0.119293142	-0.224064669	0.822748106	C1
hsa-miR-122-5p 	Cluster2 - 1	-0.342763891	0.142242221	-2.409719757	0.05375421	C1
hsa-miR-122-5p 	Cluster3 - 1	0.167356335	0.147820022	1.132162838	0.322262292	C1
hsa-miR-122-5p 	Cluster4 - 1	-0.228346976	0.146843137	-1.55504016	0.240441586	C1
hsa-miR-122-5p 	Cluster5 - 1	-0.042597724	0.149493981	-0.284946082	0.775738462	C1
hsa-miR-363-3p 	Cluster2 - 1	-0.293539935	0.168162732	-1.745570678	0.405807598	C1
hsa-miR-363-3p 	Cluster3 - 1	0.069696975	0.174756964	0.398822302	0.766778495	C1
hsa-miR-363-3p 	Cluster4 - 1	-0.135136442	0.173602064	-0.778426468	0.623547275	C1
hsa-miR-363-3p 	Cluster5 - 1	-0.100710697	0.176735966	-0.569837024	0.711129047	C1
hsa-miR-26b-5p 	Cluster2 - 1	-0.152981973	0.158172284	-0.967185709	0.556102195	C1
hsa-miR-26b-5p 	Cluster3 - 1	0.198938363	0.164374756	1.210273208	0.452862074	C1
hsa-miR-26b-5p 	Cluster4 - 1	0.24336695	0.163288468	1.490411127	0.340998744	C1
hsa-miR-26b-5p 	Cluster5 - 1	0.137350852	0.166236187	0.826239185	0.584065003	C1
hsa-miR-23a-3p 	Cluster2 - 1	-0.588495447	0.144902015	-4.061333765	0.00013053	C1
hsa-miR-23a-3p 	Cluster3 - 1	0.498520267	0.150584115	3.310576727	0.001921818	C1
hsa-miR-23a-3p 	Cluster4 - 1	0.045146639	0.149588964	0.30180461	0.762857398	C1
hsa-miR-23a-3p 	Cluster5 - 1	0.098749151	0.152289376	0.648430992	0.646049981	C1
hsa-miR-16-2-3p 	Cluster2 - 1	-0.476252931	0.188411573	-2.527726522	0.116178718	C1
hsa-miR-16-2-3p 	Cluster3 - 1	-0.073156176	0.195799831	-0.373627372	0.736434063	C1
hsa-miR-16-2-3p 	Cluster4 - 1	-0.137882396	0.194505867	-0.708885538	0.683634232	C1
hsa-miR-16-2-3p 	Cluster5 - 1	-0.248019891	0.198017129	-1.252517356	0.452270153	C1
hsa-miR-145-3p 	Cluster2 - 1	-0.560375773	0.175303849	-3.196597096	0.004765769	C1
hsa-miR-145-3p 	Cluster3 - 1	0.176824873	0.182178108	0.97061538	0.553251206	C1
hsa-miR-145-3p 	Cluster4 - 1	0.103397941	0.180974164	0.571340895	0.709854919	C1
hsa-miR-145-3p 	Cluster5 - 1	-0.016611606	0.184241149	-0.090162302	0.928174463	C1
hsa-miR-182-5p 	Cluster2 - 1	-0.172735103	0.154202864	-1.120180904	0.501025848	C1
hsa-miR-182-5p 	Cluster3 - 1	0.096802692	0.160249681	0.604074164	0.657667206	C1
hsa-miR-182-5p 	Cluster4 - 1	-0.104286626	0.159190655	-0.655105205	0.657667206	C1
hsa-miR-182-5p 	Cluster5 - 1	0.167833277	0.162064399	1.035596208	0.501025848	C1
hsa-miR-106b-3p 	Cluster2 - 1	-0.587176513	0.229352876	-2.56014454	0.038546128	C1
hsa-miR-106b-3p 	Cluster3 - 1	-0.014373978	0.238346581	-0.060307043	0.978992322	C1
hsa-miR-106b-3p 	Cluster4 - 1	-0.082739236	0.236771442	-0.349447702	0.978992322	C1
hsa-miR-106b-3p 	Cluster5 - 1	0.006348705	0.241045691	0.026338183	0.978992322	C1
hsa-let-7d-5p 	Cluster2 - 1	-0.106599131	0.16801811	-0.634450242	0.69222773	C1
hsa-let-7d-5p 	Cluster3 - 1	0.050873506	0.17460667	0.291360611	0.793818745	C1
hsa-let-7d-5p 	Cluster4 - 1	0.152419118	0.173452764	0.878735595	0.656890882	C1
hsa-let-7d-5p 	Cluster5 - 1	-0.150533222	0.176583971	-0.852473879	0.656890882	C1
hsa-miR-29a-3p 	Cluster2 - 1	-0.624182206	0.159138051	-3.922268769	0.000465434	C1
hsa-miR-29a-3p 	Cluster3 - 1	0.138712831	0.165378394	0.838760299	0.57397705	C1
hsa-miR-29a-3p 	Cluster4 - 1	-0.072435905	0.164285473	-0.440914851	0.785491565	C1
hsa-miR-29a-3p 	Cluster5 - 1	-0.062896831	0.16725119	-0.376062086	0.785491565	C1
hsa-miR-501-3p 	Cluster2 - 1	0.034032442	0.139814766	0.243410926	0.807731935	C1
hsa-miR-501-3p 	Cluster3 - 1	-0.305002726	0.145297377	-2.099161953	0.090068542	C1
hsa-miR-501-3p 	Cluster4 - 1	-0.231441877	0.144337164	-1.603480836	0.181853759	C1
hsa-miR-501-3p 	Cluster5 - 1	0.076398195	0.14694277	0.519918025	0.757790981	C1
hsa-miR-151a-3p 	Cluster2 - 1	-0.090764931	0.093960319	-0.965992157	0.388496315	C1
hsa-miR-151a-3p 	Cluster3 - 1	0.095131085	0.097644822	0.974256319	0.388496315	C1
hsa-miR-151a-3p 	Cluster4 - 1	0.005420579	0.096999526	0.055882529	0.955445419	C1
hsa-miR-151a-3p 	Cluster5 - 1	0.218723169	0.098750582	2.214905111	0.093612864	C1
hsa-miR-378a-3p 	Cluster2 - 1	-0.499305262	0.159215199	-3.136040193	0.012131373	C1
hsa-miR-378a-3p 	Cluster3 - 1	-0.021498065	0.165458567	-0.1299302	0.896645128	C1
hsa-miR-378a-3p 	Cluster4 - 1	-0.13833846	0.164365117	-0.841653406	0.78697811	C1
hsa-miR-378a-3p 	Cluster5 - 1	-0.082016679	0.167332271	-0.490142629	0.81324339	C1
hsa-miR-20a-5p 	Cluster2 - 1	-0.459978411	0.291521101	-1.577856321	0.287206944	C1
hsa-miR-20a-5p 	Cluster3 - 1	0.206730673	0.302952632	0.682386124	0.81908855	C1
hsa-miR-20a-5p 	Cluster4 - 1	0.141930338	0.300950538	0.471606858	0.81908855	C1
hsa-miR-20a-5p 	Cluster5 - 1	0.007533118	0.306383362	0.024587229	0.980388613	C1
hsa-miR-99b-5p 	Cluster2 - 1	0.107047559	0.125438468	0.853387004	0.544883191	C1
hsa-miR-99b-5p 	Cluster3 - 1	-0.170803657	0.130357336	-1.310272684	0.427767157	C1
hsa-miR-99b-5p 	Cluster4 - 1	-0.146965241	0.129495856	-1.134903041	0.427767157	C1
hsa-miR-99b-5p 	Cluster5 - 1	0.009255241	0.131833543	0.070203995	0.944043906	C1
hsa-miR-103a-3p 	Cluster2 - 1	0.22466675	0.193585606	1.160555039	0.846087372	C1
hsa-miR-103a-3p 	Cluster3 - 1	0.227771155	0.201176754	1.132194201	0.846087372	C1
hsa-miR-103a-3p 	Cluster4 - 1	0.12194691	0.199847256	0.610200571	0.846087372	C1
hsa-miR-103a-3p 	Cluster5 - 1	0.03966052	0.203454942	0.194935153	0.939421435	C1
hsa-miR-126-3p 	Cluster2 - 1	0.103721389	0.1243226	0.83429231	0.577564726	C1
hsa-miR-126-3p 	Cluster3 - 1	0.167816103	0.129197711	1.298909252	0.485610247	C1
hsa-miR-126-3p 	Cluster4 - 1	0.280767112	0.128343895	2.187615646	0.289050607	C1
hsa-miR-126-3p 	Cluster5 - 1	0.051362333	0.130660786	0.393096769	0.69432329	C1
hsa-miR-361-5p 	Cluster2 - 1	-0.868961847	0.202063938	-4.300430136	6.18E-05	C1
hsa-miR-361-5p 	Cluster3 - 1	0.247453035	0.20998755	1.178417645	0.398136707	C1
hsa-miR-361-5p 	Cluster4 - 1	0.123565206	0.208599826	0.592355271	0.615258921	C1
hsa-miR-361-5p 	Cluster5 - 1	-0.028385396	0.212365515	-0.133662925	0.893693287	C1
hsa-miR-199a-3pXhsa-miR-199b-3p 	Cluster2 - 1	-0.721734878	0.201715804	-3.577978832	0.003611559	C1
hsa-miR-199a-3pXhsa-miR-199b-3p 	Cluster3 - 1	-0.182255256	0.209625766	-0.869431557	0.480998227	C1
hsa-miR-199a-3pXhsa-miR-199b-3p 	Cluster4 - 1	-0.248323498	0.208240432	-1.192484555	0.388875787	C1
hsa-miR-199a-3pXhsa-miR-199b-3p 	Cluster5 - 1	-0.373211706	0.211999633	-1.760435622	0.168763237	C1
hsa-miR-144-5p 	Cluster2 - 1	-0.353817704	0.301642477	-1.172970423	0.866106875	C1
hsa-miR-144-5p 	Cluster3 - 1	-0.31433689	0.313470902	-1.002762578	0.866106875	C1
hsa-miR-144-5p 	Cluster4 - 1	-0.061474778	0.311399297	-0.197414635	0.894566981	C1
hsa-miR-144-5p 	Cluster5 - 1	-0.117190856	0.317020744	-0.369663054	0.894566981	C1
hsa-miR-500a-3p 	Cluster2 - 1	-0.570069988	0.147883479	-3.854859188	0.000408077	C1
hsa-miR-500a-3p 	Cluster3 - 1	0.138901115	0.153682492	0.90381873	0.406985673	C1
hsa-miR-500a-3p 	Cluster4 - 1	-0.141856384	0.152666865	-0.929189081	0.406985673	C1
hsa-miR-500a-3p 	Cluster5 - 1	0.172139209	0.15542284	1.107554133	0.383276739	C1
hsa-miR-423-3p 	Cluster2 - 1	-0.136051766	0.120724405	-1.126961574	0.433336056	C1
hsa-miR-423-3p 	Cluster3 - 1	-0.052795772	0.125458419	-0.420822867	0.74885075	C1
hsa-miR-423-3p 	Cluster4 - 1	0.187784476	0.124629314	1.50674404	0.388189236	C1
hsa-miR-423-3p 	Cluster5 - 1	0.035674807	0.126879149	0.281171552	0.778631085	C1
hsa-miR-484 	Cluster2 - 1	0.354319731	0.125163222	2.830861368	0.023629154	C1
hsa-miR-484 	Cluster3 - 1	-0.173747861	0.130071297	-1.33578941	0.259844556	C1
hsa-miR-484 	Cluster4 - 1	0.061624679	0.129211707	0.476927987	0.791883785	C1
hsa-miR-484 	Cluster5 - 1	0.028599799	0.131544265	0.21741578	0.827924184	C1
hsa-miR-126-5p 	Cluster2 - 1	-0.41495232	0.173842497	-2.386944081	0.057184287	C1
hsa-miR-126-5p 	Cluster3 - 1	0.070373608	0.180659452	0.389537371	0.921117085	C1
hsa-miR-126-5p 	Cluster4 - 1	0.052803139	0.179465545	0.294224383	0.921117085	C1
hsa-miR-126-5p 	Cluster5 - 1	-0.025783033	0.182705295	-0.141118151	0.921117085	C1
hsa-miR-221-3p 	Cluster2 - 1	-0.542657281	0.186473952	-2.910096961	0.009212702	C1
hsa-miR-221-3p 	Cluster3 - 1	0.125557935	0.193786229	0.647919803	0.811882382	C1
hsa-miR-221-3p 	Cluster4 - 1	-0.001072582	0.192505572	-0.005571695	0.995555452	C1
hsa-miR-221-3p 	Cluster5 - 1	0.014965442	0.195980724	0.076361805	0.995555452	C1
hsa-miR-93-5p 	Cluster2 - 1	-0.854495994	0.290483445	-2.941634052	0.011108175	C1
hsa-miR-93-5p 	Cluster3 - 1	0.100996596	0.301874287	0.334565083	0.875661019	C1
hsa-miR-93-5p 	Cluster4 - 1	0.021305805	0.299879319	0.071047931	0.943372372	C1
hsa-miR-93-5p 	Cluster5 - 1	-0.292758534	0.305292805	-0.958943443	0.482564997	C1
hsa-miR-30a-5p 	Cluster2 - 1	0.018768765	0.118190409	0.15880108	0.879456724	C1
hsa-miR-30a-5p 	Cluster3 - 1	0.217473024	0.122825056	1.770591697	0.444521349	C1
hsa-miR-30a-5p 	Cluster4 - 1	0.101184841	0.122013354	0.829293173	0.79503377	C1
hsa-miR-30a-5p 	Cluster5 - 1	0.036701962	0.124215965	0.295468956	0.879456724	C1
hsa-miR-342-3p 	Cluster2 - 1	-0.255321532	0.158813719	-1.607679327	0.501531341	C1
